,Random State,RMSE Train,MAE Train,MAPE Train,RMSE Test,MAE Test,MAPE Test,Y Train Average,Y Test Average
36,36,5.131866455078125,4.023634433746338,0.0146113624796271,5.431588649749756,4.319469451904297,0.0159617885947227,276.07147216796875,271.9522705078125
37,37,5.072248935699463,3.9709677696228023,0.0144401527941226,5.075454235076904,3.869537830352783,0.013852909207344,275.2341613769531,279.4501037597656
38,38,4.987339496612549,3.93574857711792,0.0143505427986383,6.746342182159424,4.841807842254639,0.0171250365674495,274.7927551269531,283.40252685546875
39,39,5.354709148406982,4.134356021881104,0.0151029480621218,5.164500236511231,4.157671928405762,0.0149661172181367,275.6528015136719,275.7011108398437
40,40,5.019816875457764,3.927046060562134,0.0143170328810811,5.808072090148926,4.493994235992432,0.0155614903196692,274.53570556640625,285.7043762207031
41,41,5.255367755889893,4.084783554077148,0.0147648556157946,5.13874626159668,4.1563801765441895,0.0151380049064755,275.21484375,279.6230163574219
42,42,5.0239667892456055,3.962017774581909,0.0144137544557452,5.37931489944458,4.380641937255859,0.0163165256381034,276.0621643066406,272.0355529785156
43,43,5.001753807067871,3.969055414199829,0.0144717302173376,5.894371032714844,4.235991477966309,0.0149155994877219,275.88287353515625,273.6410217285156
44,44,4.9238996505737305,3.8997397422790527,0.0141074359416961,5.274491310119629,4.237081527709961,0.0159790981560945,276.74566650390625,265.9151916503906
45,45,5.01508092880249,3.999317407608032,0.0145478900521993,5.402241230010986,4.137975215911865,0.0149160576984286,275.1142272949219,280.52398681640625
46,46,5.3155951499938965,4.097329139709473,0.0148559426888823,5.177694320678711,4.218484878540039,0.0157403443008661,276.0560913085937,272.0898132324219
47,47,5.154098033905029,3.978505849838257,0.0144345229491591,5.135581970214844,4.172842502593994,0.0155985206365585,276.8507080078125,264.97430419921875
48,48,5.154577255249023,4.126128196716309,0.0150072490796446,5.01259708404541,3.813244342803955,0.0140068689361214,276.2537536621094,270.3197021484375
49,49,5.2316484451293945,4.125572204589844,0.0149475438520312,5.347152233123779,4.4195942878723145,0.0162216275930404,276.0541381835937,272.1075439453125
50,50,5.164801120758057,4.083324909210205,0.0148014770820736,5.649604320526123,4.457909107208252,0.0163519158959388,275.9847717285156,272.7287292480469
51,51,5.162228107452393,4.010672569274902,0.0145615758374333,5.169790744781494,4.13464879989624,0.014956678263843,275.6513061523437,275.7144470214844
52,52,5.019302845001221,3.96660041809082,0.0144538646563887,5.443724632263184,4.405762672424316,0.0157031174749135,275.7357177734375,274.9586181640625
53,53,5.0252556800842285,4.010581970214844,0.0146607663482427,5.748086929321289,4.410706996917725,0.016124814748764,276.03826904296875,272.2493591308594
54,54,5.796927452087402,4.429370403289795,0.0160212013870477,6.035166263580322,4.821576118469238,0.0178418345749378,275.9080505371094,273.4156188964844
55,55,4.883396625518799,3.86264443397522,0.0140281757339835,4.842400074005127,3.888448715209961,0.0144048780202865,276.3459777832031,269.49420166015625
56,56,5.435705661773682,4.393344402313232,0.0160576254129409,5.389461994171143,4.3412299156188965,0.0161113440990448,275.99853515625,272.6054382324219
57,57,4.96843147277832,4.01915979385376,0.0147011568769812,5.570494651794434,4.378688335418701,0.0160703398287296,275.5484924316406,276.63543701171875
58,58,5.142981052398682,4.056811809539795,0.0147914150729775,4.857691287994385,3.8706135749816895,0.0139425816014409,275.4984130859375,277.0836181640625
59,59,5.4083123207092285,4.2708353996276855,0.0155180925503373,6.079146385192871,4.644019603729248,0.0171287506818771,276.0648193359375,272.0118103027344
60,60,5.251221179962158,4.126835346221924,0.0150366108864545,5.291648387908936,4.332980155944824,0.0158381666988134,276.050048828125,272.1440734863281
61,61,5.183260917663574,4.106314659118652,0.0149821266531944,5.724979877471924,4.242679595947266,0.0155769903212785,275.9424743652344,273.1072692871094
62,62,5.294820785522461,4.152616024017334,0.0151167912408709,5.2651872634887695,4.155519008636475,0.014675642363727,275.54229736328125,276.6908264160156
63,63,5.935459613800049,4.554978370666504,0.0166113879531621,8.059885025024414,5.61602783203125,0.0194032248109579,275.62841796875,275.91925048828125
64,64,4.999145030975342,3.9346306324005127,0.0143457017838954,5.175431728363037,4.165467262268066,0.0152263892814517,275.7657165527344,274.69012451171875
65,65,5.477170467376709,4.189753532409668,0.0151729574427008,4.488061904907227,3.501936674118042,0.0128667810931801,275.5314636230469,276.7879333496094
66,66,5.103238105773926,4.085124492645264,0.0149307055398821,4.820512294769287,3.7372145652771,0.0138110890984535,276.2892761230469,270.0018005371094
67,67,5.3955397605896,4.209680557250977,0.0153262084349989,5.363200664520264,4.393629550933838,0.01614242605865,275.7760314941406,274.59771728515625
68,68,5.04535722732544,3.988514661788941,0.0144684361293911,4.842838764190674,3.9964253902435294,0.015252879820764,276.6418151855469,266.8450012207031
69,69,5.007680892944336,4.0100531578063965,0.014564293436706,5.540075302124023,4.307865142822266,0.0160857811570167,276.4989318847656,268.1243896484375
70,70,5.100024700164795,4.015801906585693,0.0146305300295352,5.743542671203613,4.593053817749023,0.01636360026896,275.130126953125,280.3814697265625
71,71,5.175088882446289,4.120650768280029,0.0150605933740735,5.0359625816345215,3.932186126708984,0.0143974535167217,275.7306213378906,275.0043640136719
72,72,5.007483959197998,3.9274609088897705,0.0143354590982198,5.595792770385742,4.586199760437012,0.016610499471426,275.33807373046875,278.5194702148437
73,73,5.205514907836914,4.106766223907471,0.0149311879649758,5.573235511779785,4.495770454406738,0.0162245780229568,275.9911193847656,272.6717224121094
74,74,5.3437981605529785,4.1586103439331055,0.015011316165328,5.114879131317139,4.00315523147583,0.0151290744543075,276.6473388671875,266.79547119140625
75,75,5.085355758666992,3.977445363998413,0.0144523978233337,5.568516254425049,4.308769702911377,0.0154143497347831,275.5797424316406,276.35552978515625
76,76,5.087619304656982,3.993316650390625,0.0145763903856277,5.984958648681641,4.679096221923828,0.017230873927474,275.67950439453125,275.46209716796875
77,77,5.345264911651611,4.220151901245117,0.0152929639443755,5.155357837677002,4.198814868927002,0.016134375706315,276.7298278808594,266.0567932128906
78,78,4.822951793670654,3.83976936340332,0.0140241086483001,5.805317401885986,4.74400520324707,0.0170567482709884,275.3567810058594,278.3520202636719
79,79,5.372066020965576,4.147517681121826,0.0151282800361514,4.919582843780518,4.039297103881836,0.015023436397314,275.7275695800781,275.03173828125
80,80,5.059205055236816,3.969337224960327,0.0144087988883256,5.412674903869629,4.278687477111816,0.0153621304780244,275.16131591796875,280.1022644042969
81,81,4.892094135284424,3.87618088722229,0.0140816187486052,5.171409606933594,4.231462001800537,0.0155376307666301,276.0685729980469,271.9780578613281
82,82,5.076416969299316,3.9922051429748535,0.014546132646501,5.476305961608887,4.449067115783691,0.0164179522544145,275.6927490234375,275.343505859375
83,83,5.186808109283447,4.114998817443848,0.0150389289483428,5.586101531982422,4.425508975982666,0.0157904252409935,275.1295471191406,280.3867492675781
84,84,4.949038028717041,3.972409725189209,0.0145160434767603,5.751745700836182,4.373295307159424,0.0156766530126333,275.5769958496094,276.3800964355469
85,85,5.762821197509766,4.287506103515625,0.0153791634365916,6.776073932647705,5.062350273132324,0.0180015619844198,275.5561828613281,276.5665283203125
86,86,5.099366664886475,3.9593141078948975,0.014312295243144,5.21824836730957,4.200625419616699,0.0155631303787231,275.6905212402344,275.36334228515625
87,87,5.3805012702941895,4.165849208831787,0.0150880655273795,5.149662971496582,3.997389316558838,0.0148135162889957,275.9512023925781,273.0290832519531
88,88,5.50990629196167,4.21950101852417,0.0152304787188768,5.850353240966797,4.41206169128418,0.0160719696432352,276.23388671875,270.4976501464844
89,89,5.09178638458252,3.989605903625488,0.0145973162725567,5.590785026550293,4.464380741119385,0.0164182409644126,275.8510437011719,273.9259033203125
90,90,5.339409351348877,4.148357391357422,0.0149582978338003,5.211946964263916,4.254404544830322,0.0157900676131248,276.2107849121094,270.70465087890625
91,91,5.134024143218994,4.056548595428467,0.0147102139890193,5.3198957443237305,4.310650825500488,0.0158385559916496,275.8734436035156,273.72528076171875
92,92,5.111545085906982,4.055440902709961,0.0147573286667466,5.441215515136719,4.382292747497559,0.0161856468766927,276.1566162109375,271.18963623046875
93,93,4.977846145629883,3.930760145187378,0.0143340211361646,5.376652240753174,4.439669609069824,0.0163422506302595,276.11785888671875,271.5370178222656
94,94,5.253555774688721,4.013818740844727,0.01456477958709,5.262748718261719,4.124405860900879,0.0146391233429312,275.5606994628906,276.5259094238281
95,95,5.03424596786499,3.9832065105438232,0.014492530375719,4.716346263885498,3.6401116847991934,0.013201761059463,275.6488647460937,275.7364501953125
96,96,5.069202899932861,4.038016319274902,0.0147515004500746,5.560903072357178,4.465965270996094,0.0162401720881462,275.859130859375,273.853759765625
97,97,5.1095871925354,4.089224815368652,0.0148912649601697,5.273894309997559,4.306657791137695,0.0160146635025739,276.16754150390625,271.0919189453125
98,98,5.161627292633057,4.072534084320068,0.0147322118282318,4.717031478881836,3.837878465652466,0.0142331598326563,276.0395812988281,272.2377014160156
99,99,5.005494117736816,3.982920646667481,0.0145622175186872,5.179697036743164,4.032156467437744,0.0145598798990249,275.42742919921875,277.71954345703125
